model,subset,f1,accuracy
朴素 BERT,原始样本,0.9054726368159204,0.905
朴素 BERT,对抗_A (字符删除),0.9778534923339012,0.9566666666666667
朴素 BERT,对抗_B (字符插入),0.9966555183946488,0.9933333333333333
朴素 BERT,对抗_C (跨语种同形),0.951048951048951,0.9066666666666666
朴素 BERT,对抗_D (零宽注入),0.9528795811518325,0.91
朴素 BERT,对抗_E (同义词),0.9528795811518325,0.91
朴素 BERT,对抗_F (音近字),0.9778534923339012,0.9566666666666667
朴素 BERT,对抗_G (形近字),0.9565217391304348,0.9166666666666666
朴素 BERT,对抗_H (繁简混用),0.9583333333333334,0.92
朴素 BERT,对抗_I (字符乱序),0.9864864864864865,0.9733333333333334
朴素 BERT,对抗_J (★强乱序),0.9847715736040609,0.97
朴素 BERT,对抗_K (★强音近),0.9813242784380306,0.9633333333333334
朴素 BERT,对抗_L (★混合攻击),0.9881956155143339,0.9766666666666667
四通道融合,原始样本,0.9087893864013267,0.9083333333333333
四通道融合,对抗_A (字符删除),0.9795918367346939,0.96
四通道融合,对抗_B (字符插入),0.9966555183946488,0.9933333333333333
四通道融合,对抗_C (跨语种同形),0.9583333333333334,0.92
四通道融合,对抗_D (零宽注入),0.9547038327526133,0.9133333333333333
四通道融合,对抗_E (同义词),0.9565217391304348,0.9166666666666666
四通道融合,对抗_F (音近字),0.9761092150170648,0.9533333333333334
四通道融合,对抗_G (形近字),0.9565217391304348,0.9166666666666666
四通道融合,对抗_H (繁简混用),0.9528795811518325,0.91
四通道融合,对抗_I (字符乱序),0.9830508474576272,0.9666666666666667
四通道融合,对抗_J (★强乱序),0.9864864864864865,0.9733333333333334
四通道融合,对抗_K (★强音近),0.9830508474576272,0.9666666666666667
四通道融合,对抗_L (★混合攻击),0.9881956155143339,0.9766666666666667
四通道融合: Ntext,原始样本,0.270935960591133,0.5066666666666667
四通道融合: Ntext,对抗_A (字符删除),0.2404692082111437,0.13666666666666666
四通道融合: Ntext,对抗_B (字符插入),0.38274932614555257,0.23666666666666666
四通道融合: Ntext,对抗_C (跨语种同形),0.3146067415730337,0.18666666666666668
四通道融合: Ntext,对抗_D (零宽注入),0.2658959537572254,0.15333333333333332
四通道融合: Ntext,对抗_E (同义词),0.30985915492957744,0.18333333333333332
四通道融合: Ntext,对抗_F (音近字),0.3002832861189802,0.17666666666666667
